key,en,zh-Hans,zh-Hant,ja-JP,ko-KR,ms-MY,th-TH,vi-VN,hi-IN,de-DE,fr-FR,pt-PT,es-ES,it-IT,nl-NL,no-NO,sv-SE,ro-RO,cs-CZ
common.more,View More,查看更多,查看更多,もっと見る,더보기,Lihat Lagi,ดูเพิ่มเติม,Xem thêm,और देखें,Mehr anzeigen,Voir plus,Ver mais,Ver más,Visualizza di più,Meer weergeven,Se mer,Visa mer,Vezi mai mult,Zobrazit více
common.hello,{msg} World,{msg} 世界,{msg} 世界,{msg}の世界,세계,{msg} Dunia,{msg} โลก,{msg} Thế giới,{msg} दुनिया,{msg} Welt,{msg} Monde,{msg} Mundo,{msg} Mundo,{msg} Mondo,{msg} Wereld,{msg} Verden,{msg} Världen,{msg} Lumea,{msg} Svět
common.confirm,Confirm,确认,確認,確認,확인,Sahkan,ยืนยัน,Xác nhận,पुष्टि करें,Bestätigen,Confirmer,Confirmar,Confirmar,Conferma,Bevestigen,Bekreft,Bekräfta,Confirmă,Potvrdit
common.cancel,Cancel,取消,取消,キャンセル,취소,Batal,ยกเลิก,Hủy,रद्द करें,Abbrechen,Annuler,Cancelar,Cancelar,Annulla,Annuleren,Avbryt,Avbryt,Anulează,Zrušit
common.save,Save,保存,儲存,保存,저장,Simpan,บันทึก,Lưu,सहेजें,Speichern,Enregistrer,Salvar,Guardar,Salva,Opslaan,Lagre,Spara,Salvează,Uložit
common.done,Done,完成,完成,完了,완료,Selesai,เสร็จสิ้น,Hoàn tất,हो गया,Fertig,Terminé,Concluído,Completado,Completato,Voltooien,Fullført,Färdig,Finalizat,Dokončeno
common.loading,Loading...,加载中...,加載中...,読み込み中...,로딩 중...,Memuatkan...,กำลังโหลด...,Đang tải...,लोड हो रहा है…,Wird geladen…,Chargement…,Carregando…,Cargando…,Caricamento in corso…,Laden...,Laster inn...,Laddar...,Se încarcă...,Načítání...
common.doSuccess,Operation successful,操作成功,操作成功,操作が成功しました,작업이 성공했습니다,Operasi berjaya,ดำเนินการสำเร็จ,Thao tác thành công,ऑपरेशन सफल रहा,Vorgang erfolgreich,Opération réussie,Operação bem-sucedida,Operación exitosa,Operazione riuscita,Actie geslaagd,Handling vellykket,Åtgärd lyckades,Operațiune reușită,Akce byla úspěšná
faq.title,FAQ,常见问题,常見問題,よくある質問,자주 묻는 질문,Soalan Lazim,คำถามที่พบบ่อย,Câu hỏi thường gặp,अक्सर पूछे जाने वाले प्रश्न,Häufig gestellte Fragen,Questions fréquentes,Perguntas frequentes,Preguntas frecuentes,Domande frequenti,Veelgestelde vragen,Vanlige spørsmål,Vanliga frågor,Întrebări frecvente,Často kladené dotazy
faq.faq1,What is 9M AI?,什么是 9M AI？,什麼是 9M AI？,9M AIとは何ですか？,9M AI는 무엇인가요?,Apakah itu 9M AI?,9M AI คืออะไร?,9M AI là gì?,9M AI क्या है?,Was ist 9M AI?,Qu’est-ce que 9M AI ?,O que é 9M AI?,¿Qué es 9M AI?,Che cos’è 9M AI?,Wat is 9M AI?,Hva er 9M AI?,Vad är 9M AI?,Ce este 9M AI?,Co je 9M AI?
faq.faq1Content,"9M AI is a New York–based AI fintech company founded by former Goldman Sachs executives, Columbia University AI scientists, and top quantitative engineers. It delivers fully automated investment and asset-management solutions using proprietary AI trading models.",9M AI 是一家总部位于纽约的 AI 金融科技公司，由前高盛高管、哥伦比亚大学 AI 科学家及顶尖量化工程师创立，专注于通过专有 AI 交易模型提供全自动的投资与资产管理解决方案。,9M AI 是一家總部位於紐約的 AI 金融科技公司，由前高盛高層、哥倫比亞大學 AI 科學家與頂尖量化工程師創立，致力於提供透過專屬 AI 交易模型所驅動的全自動投資與資產管理解決方案。,9M AIは、元ゴールドマン・サックス幹部、コロンビア大学のAI科学者、トップクラスのクオンツエンジニアによって設立された、ニューヨーク拠点のAIフィンテック企業です。独自開発のAI取引モデルを用いて、完全自動化された資産運用ソリューションを提供します。,"9M AI는 전 골드만삭스 임원, 콜롬비아대학교 AI 과학자, 그리고 최고의 퀀트 엔지니어들이 설립한 뉴욕 기반의 AI 핀테크 기업입니다. 독자적인 AI 트레이딩 모델을 기반으로 완전 자동화된 투자 및 자산 관리 솔루션을 제공합니다.","9M AI ialah syarikat fintech AI yang berpangkalan di New York, diasaskan oleh bekas eksekutif Goldman Sachs, saintis AI dari Universiti Columbia, dan jurutera kuantitatif terbaik. Ia menyediakan penyelesaian pelaburan dan pengurusan aset automatik sepenuhnya menggunakan model dagangan AI milik sendiri.",9M AI คือบริษัทฟินเทคด้าน AI สัญชาติอเมริกันในนิวยอร์ก ก่อตั้งโดยอดีตผู้บริหาร Goldman Sachs นักวิทยาศาสตร์ AI จากมหาวิทยาลัยโคลัมเบีย และวิศวกรควอนตัมชั้นนำ โดยให้บริการระบบลงทุนและบริหารสินทรัพย์แบบอัตโนมัติผ่านโมเดลการเทรด AI ที่พัฒนาเอง,"9M AI là công ty fintech trí tuệ nhân tạo có trụ sở tại New York, được sáng lập bởi các cựu giám đốc Goldman Sachs, nhà khoa học AI của Đại học Columbia và kỹ sư định lượng hàng đầu thế giới. Công ty cung cấp giải pháp đầu tư và quản lý tài sản tự động hóa hoàn toàn dựa trên mô hình giao dịch AI độc quyền.","9M AI न्यूयॉर्क स्थित एक AI फिनटेक कंपनी है, जिसकी स्थापना पूर्व गोल्डमैन सैक्स अधिकारियों, कोलंबिया विश्वविद्यालय के AI वैज्ञानिकों और शीर्ष क्वांट इंजीनियरों ने की थी। यह पूरी तरह से स्वचालित निवेश और एसेट मैनेजमेंट समाधान प्रदान करती है।","9M AI ist ein in New York ansässiges Fintech-Unternehmen für künstliche Intelligenz, das von ehemaligen Führungskräften von Goldman Sachs, KI-Wissenschaftlern der Columbia University und führenden quantitativen Ingenieuren gegründet wurde. Es konzentriert sich auf vollständig automatisierte Investment- und Vermögensverwaltungslösungen auf Basis proprietärer KI-Handelsmodelle.","9M AI est une entreprise de fintech en intelligence artificielle basée à New York, fondée par d’anciens dirigeants de Goldman Sachs, des chercheurs en IA de l’Université Columbia et des ingénieurs quantitatifs de haut niveau. Elle se spécialise dans la fourniture de solutions entièrement automatisées d’investissement et de gestion d’actifs à l’aide de modèles de trading basés sur l’IA propriétaire.","9M AI é uma empresa de tecnologia financeira em inteligência artificial sediada em Nova York, fundada por ex-executivos da Goldman Sachs, cientistas de IA da Universidade Columbia e engenheiros quantitativos de ponta. É especializada em fornecer soluções totalmente automatizadas de investimento e gestão de ativos através de modelos proprietários de negociação com IA.","9M AI es una empresa de tecnología financiera de inteligencia artificial con sede en Nueva York, fundada por exejecutivos de Goldman Sachs, científicos de IA de la Universidad de Columbia y destacados ingenieros cuantitativos. Se enfoca en ofrecer soluciones completamente automatizadas para la inversión y la gestión de activos mediante modelos de trading con IA propios.","9M AI è una società fintech di intelligenza artificiale con sede a New York, fondata da ex dirigenti di Goldman Sachs, scienziati dell’IA della Columbia University e ingegneri quantistici di alto livello. Si concentra sulla fornitura di soluzioni completamente automatizzate per l’investimento e la gestione patrimoniale tramite modelli di trading AI proprietari.","9M AI is een AI-fintechbedrijf gevestigd in New York, opgericht door voormalige Goldman Sachs-executives, AI-wetenschappers van Columbia University en topkwantitatieve ingenieurs. Het biedt volledig geautomatiseerde investerings- en vermogensbeheeroplossingen via eigen AI-handelsmodellen.","9M AI er et AI-finansselskap med hovedkontor i New York, grunnlagt av tidligere Goldman Sachs-ledere, AI-forskere fra Columbia University og ledende kvantitative ingeniører. De tilbyr helautomatiserte investerings- og formuesforvaltningsløsninger basert på proprietære AI-handelsmodeller.","9M AI är ett AI-finansiellt teknikföretag med huvudkontor i New York, grundat av tidigare Goldman Sachs-chefer, AI-forskare från Columbia University och ledande kvantingenjörer. De tillhandahåller helautomatiserade investerings- och kapitalförvaltningslösningar via egna AI-handelsmodeller.","9M AI este o companie de tehnologie financiară bazată pe inteligență artificială, cu sediul la New York, fondată de foști directori Goldman Sachs, oameni de știință AI de la Universitatea Columbia și ingineri cuantici de top. Oferă soluții complet automate pentru investiții și administrarea activelor, bazate pe modele AI proprii.","9M AI je fintech společnost se sídlem v New Yorku, kterou založili bývalí vedoucí pracovníci Goldman Sachs, odborníci na AI z Kolumbijské univerzity a špičkoví kvantitativní inženýři. Nabízí plně automatizovaná řešení pro investice a správu aktiv prostřednictvím vlastních AI modelů."
faq.faq2,What is 9M’s mission?,9M 的使命是什么？,9M 的使命是什麼？,注文失敗のお知らせ9Mのミッションは何ですか？,9M의 미션은 무엇인가요?,Apakah misi 9M?,พันธกิจของ 9M คืออะไร?,Sứ mệnh của 9M là gì?,9M का मिशन क्या है?,Was ist die Mission von 9M?,Quelle est la mission de 9M ?,Qual é a missão da 9M?,¿Cuál es la misión de 9M?,Qual è la missione di 9M?,Wat is de missie van 9M?,Hva er oppdraget til 9M?,Vad är 9M:s uppdrag?,Care este misiunea 9M?,Jaké je poslání 9M?
faq.faq2Content,"To reshape the connection between people and capital through AI, enabling every user to have a 24/7, ever-evolving AI wealth partner.",通过 AI 重塑人类与资本之间的连接，使每位用户都能拥有一个 24/7 不断进化的 AI 财富伙伴。,透過 AI 改變人類與資本之間的連結，讓每一位用戶都能擁有 24 小時持續進化的 AI 財富夥伴。,AIによって人と資本のつながりを再構築し、すべてのユーザーが24時間進化し続けるAIパートナーを持てるようにすることです。,"AI를 통해 사람과 자본 간의 연결 방식을 재정의하고, 모든 사용자가 24시간 진화하는 AI 자산 파트너를 갖도록 하는 것이 목표입니다.","Untuk mentransformasikan hubungan antara manusia dan modal melalui AI, membolehkan setiap pengguna memiliki rakan kekayaan AI yang sentiasa beroperasi dan sentiasa berkembang, 24/7.",เปลี่ยนวิธีการเชื่อมโยงระหว่างผู้คนและเงินทุนผ่าน AI ให้ทุกคนมีคู่หูด้านความมั่งคั่งที่ฉลาดล้ำและพร้อมใช้งานตลอด 24 ชั่วโมง,"Kết nối con người và dòng vốn một cách thông minh hơn thông qua AI, giúp mỗi người dùng có một người bạn đồng hành tài chính ảo 24/7 không ngừng phát triển.","AI के माध्यम से लोगों और पूंजी के बीच संबंध को नया आकार देना, ताकि हर उपयोगकर्ता के पास 24/7 काम करने वाला एक विकसित होता हुआ AI धन भागीदार हो।","KI gestaltet die Verbindung zwischen Mensch und Kapital neu, sodass jeder Nutzer einen 24/7 weiterentwickelnden KI-Vermögenspartner besitzt.","L’IA redéfinit le lien entre l’humain et le capital, permettant à chaque utilisateur de bénéficier d’un partenaire financier IA évoluant en continu, 24h/24 et 7j/7.","A IA está a redefinir a ligação entre os humanos e o capital, permitindo que cada utilizador tenha um parceiro de riqueza com IA que evolui constantemente, 24/7.","La IA redefine la conexión entre las personas y el capital, permitiendo que cada usuario tenga un socio financiero de IA en constante evolución, disponible 24/7.","L’intelligenza artificiale ridefinisce il legame tra esseri umani e capitale, permettendo a ogni utente di avere un partner finanziario AI in continua evoluzione, attivo 24/7.","De missie is om de verbinding tussen mensen en kapitaal opnieuw vorm te geven via AI, zodat elke gebruiker een 24/7 evoluerende AI-rijkdomspartner heeft.","Å koble mennesker og kapital på nytt ved hjelp av AI, slik at hver bruker får en AI-formuespartner som utvikler seg kontinuerlig 24/7.","Att omdefiniera kopplingen mellan människa och kapital med hjälp av AI, så att varje användare har en AI-förmögenhetspartner som ständigt utvecklas dygnet runt.","Să reconecteze oamenii cu capitalul prin AI, astfel încât fiecare utilizator să aibă un partener AI pentru gestionarea averii disponibil 24/7 și aflat într-o continuă evoluție.","Cílem je pomocí AI znovu propojit člověka a kapitál, aby měl každý uživatel 24/7 neustále se vyvíjejícího AI partnera pro budování bohatství."
faq.faq3,What makes 9M’s core system special?,9M 的核心系统有何特别之处？,9M 的核心系統有什麼獨特之處？,9Mのコアシステムの特長は？,9M의 핵심 시스템이 특별한 이유는?,Apa yang menjadikan sistem teras 9M istimewa?,อะไรทำให้ระบบหลักของ 9M พิเศษ?,Điều gì làm cho hệ thống lõi của 9M đặc biệt?,9M की कोर प्रणाली विशेष क्यों है?,Was macht das 9M-Kernsystem besonders?,Qu’est-ce qui rend le système central de 9M spécial ?,O que torna o sistema central da 9M especial?,¿Qué tiene de especial el sistema central de 9M?,Cosa rende unico il sistema centrale di 9M?,Wat is er speciaal aan het kernsysteem van 9M?,Hva er spesielt med 9Ms kjernesystem?,Vad är speciellt med 9M:s kärnsystem?,Ce este special la sistemul de bază al 9M?,Čím je hlavní systém 9M výjimečný?
